City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
3,Rikitea,PF,78.55,light rain,-23.1203,-134.9692,Pension Maro'i
8,Paka,MY,80.6,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
9,Sur,OM,77.07,clear sky,22.5667,59.5289,Sur Plaza Hotel
10,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
11,Hermanus,ZA,78.01,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Avarua,CK,75.2,overcast clouds,-21.2078,-159.775,Paradise Inn
15,Bengkulu,ID,81.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
21,Port Alfred,ZA,75.0,broken clouds,-33.5906,26.891,The Halyards Hotel
29,Biak,ID,80.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
42,Poum,NC,79.56,broken clouds,-20.2333,164.0167,Gîte kajeon
43,Nosy Varika,MG,86.14,clear sky,-20.5833,48.5333,Hotel Volazara
44,Port Elizabeth,ZA,77.0,clear sky,-33.918,25.5701,39 On Nile Guest House
53,Wattegama,LK,87.8,broken clouds,6.7989,81.4808,
57,Inhambane,MZ,87.6,scattered clouds,-23.865,35.3833,Oceano
58,Amalapuram,IN,84.2,haze,16.5833,82.0167,swayamprabha service apartments
60,Kruisfontein,ZA,82.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
65,Harper,LR,80.98,few clouds,4.375,-7.7169,Screensaver
66,Mahebourg,MU,87.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Durban,ZA,81.0,broken clouds,-29.8579,31.0292,Hilton Durban
72,Luang Prabang,LA,78.8,broken clouds,19.8856,102.1347,Villa Oasis
74,Butaritari,KI,81.43,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
78,Kavieng,PG,83.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
85,Atuona,PF,79.21,scattered clouds,-9.8,-139.0333,Villa Enata
88,Meulaboh,ID,84.4,scattered clouds,4.1363,96.1285,Kost Pria
92,Bloemfontein,ZA,78.04,scattered clouds,-29.1211,26.214000000000002,
98,Arraial Do Cabo,BR,75.02,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Dwarka,IN,76.55,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
101,Auki,SB,80.31,overcast clouds,-8.7676,160.7034,Auki Motel
104,Srandakan,ID,83.39,light rain,-7.9386,110.2506,Puri Brata
111,Bredasdorp,ZA,78.01,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
114,Carnarvon,AU,86.0,few clouds,-24.8667,113.6333,Hospitality Carnarvon
118,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
130,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
152,Asosa,ET,89.08,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
154,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
155,Saint-Philippe,RE,89.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
156,Namibe,AO,75.2,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
163,Trairi,BR,76.23,overcast clouds,-3.2778,-39.2689,janelas do mar
173,Byron Bay,AU,77.0,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
174,Salinopolis,BR,77.95,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
177,Tevaitoa,PF,81.54,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
180,Wewak,PG,81.73,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
185,Isangel,VU,78.51,clear sky,-19.55,169.2667,Volcano Sea View Tree House
192,Hithadhoo,MV,82.56,broken clouds,-0.6,73.0833,Scoop Guest House
193,Moranbah,AU,79.79,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
196,Mahanoro,MG,86.92,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
197,Puerto Ayora,EC,77.0,few clouds,-0.7393,-90.3518,Castillo Galapagos
202,Ntungamo,UG,88.79,scattered clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
205,Ugoofaaru,MV,82.53,clear sky,5.6667,73.0,Ungoofaaru Inn
207,Yarada,IN,84.2,haze,17.65,83.2667,"D-26/2, Dolphin Hill,"
